year,month,nao
2007,may,0.66
2007,jun,-1.31
2007,jul,-0.58
2007,aug,-0.14
2007,sep,0.72
2007,oct,0.45
2007,nov,0.58
2007,dec,0.34
2008,jan,0.89
2008,feb,0.73
2008,mar,0.08
2008,apr,-1.07
2008,may,-1.73
2008,jun,-1.39
2008,jul,-1.27
2008,aug,-1.16
2008,sep,1.02
2008,oct,-0.04
2008,nov,-0.32
2008,dec,-0.28
2009,jan,-0.01
2009,feb,0.06
2009,mar,0.57
2009,apr,-0.2
2009,may,1.68
2009,jun,-1.21
2009,jul,-2.15
2009,aug,-0.19
2009,sep,1.51
2009,oct,-1.03
2009,nov,-0.02
2009,dec,-1.93
2010,jan,-1.11
2010,feb,-1.98
2010,mar,-0.88
2010,apr,-0.72
2010,may,-1.49
2010,jun,-0.82
2010,jul,-0.42
2010,aug,-1.22
2010,sep,-0.79
2010,oct,-0.93
2010,nov,-1.62
2010,dec,-1.85
2011,jan,-0.88
2011,feb,0.7
2011,mar,0.61
2011,apr,2.48
2011,may,-0.06
2011,jun,-1.28
2011,jul,-1.51
2011,aug,-1.35
2011,sep,0.54
2011,oct,0.39
2011,nov,1.36
2011,dec,2.52
2012,jan,1.17
2012,feb,0.42
2012,mar,1.27
2012,apr,0.47
2012,may,-0.91
2012,jun,-2.53
2012,jul,-1.32
2012,aug,-0.98
2012,sep,-0.59
2012,oct,-2.06
2012,nov,-0.58
2012,dec,0.17
2013,jan,0.35
2013,feb,-0.45
2013,mar,-1.61
2013,apr,0.69
2013,may,0.57
2013,jun,0.52
2013,jul,0.67
2013,aug,0.97
2013,sep,0.24
2013,oct,-1.28
2013,nov,0.9
2013,dec,0.95
2014,jan,0.29
2014,feb,1.34
2014,mar,0.8
2014,apr,0.31
2014,may,-0.92
2014,jun,-0.97
2014,jul,0.18
2014,aug,-1.68
2014,sep,1.62
2014,oct,-1.27
2014,nov,0.68
2014,dec,1.86
2015,jan,1.79
2015,feb,1.32
2015,mar,1.45
2015,apr,0.73
2015,may,0.15
2015,jun,-0.07
2015,jul,-3.18
2015,aug,-0.76
2015,sep,-0.65
2015,oct,0.44
2015,nov,1.74
2015,dec,2.24
2016,jan,0.12
2016,feb,1.58
2016,mar,0.73
2016,apr,0.38
2016,may,-0.77
2016,jun,-0.43
2016,jul,-1.76
2016,aug,-1.65
2016,sep,0.61
2016,oct,0.41
2016,nov,-0.16
2016,dec,0.48
2017,jan,0.48
2017,feb,1
2017,mar,0.74
2017,apr,1.73
2017,may,-1.91
2017,jun,0.05
2017,jul,1.26
2017,aug,-1.1
2017,sep,-0.61
2017,oct,0.19
2017,nov,-0
2017,dec,0.88
2018,jan,1.44
2018,feb,1.58
2018,mar,-0.93
2018,apr,1.24
2018,may,2.12
2018,jun,1.09
2018,jul,1.39
2018,aug,1.97
2018,sep,1.67
2018,oct,0.93
2018,nov,-0.11
2018,dec,0.61
2019,jan,0.59
2019,feb,0.29
2019,mar,1.23
2019,apr,0.47
2019,may,-2.62
2019,jun,-1.09
2019,jul,-1.43
2019,aug,-1.17
2019,sep,-0.16
2019,oct,-1.41
2019,nov,0.28
2019,dec,1.2
2020,jan,1.34
2020,feb,1.26
2020,mar,1.01
2020,apr,-1.02
2020,may,-0.41
2020,jun,-0.15
2020,jul,-1.23
2020,aug,0.12
2020,sep,0.98
2020,oct,-0.65
2020,nov,2.54
2020,dec,-0.3
2021,jan,-1.11
2021,feb,0.14
2021,mar,0.73
2021,apr,-1.43
2021,may,-1.24
2021,jun,0.77
2021,jul,0.03
2021,aug,-0.28
2021,sep,-0.21
2021,oct,-2.29
2021,nov,-0.18
2021,dec,0.29
2022,jan,1.08
2022,feb,1.68
2022,mar,0.77
2022,apr,-0.36
2022,may,0.71
2022,jun,-0.12
2022,jul,-0.09
2022,aug,1.47
2022,sep,-1.61
2022,oct,-0.72
2022,nov,0.69
2022,dec,-0.15
2023,jan,1.25
2023,feb,0.92
2023,mar,-1.11
2023,apr,-0.63
2023,may,0.39
2023,jun,-0.58
2023,jul,-2.17
2023,aug,-1.16
2023,sep,-0.44
2023,oct,-2.03
2023,nov,-0.32
2023,dec,1.94
2024,jan,0.21
2024,feb,1.09
2024,mar,-0.21
2024,apr,-0.78
2024,may,-0.44
2024,jun,-0.09
2024,jul,1.46
2024,aug,0.63
2024,sep,-1.43
2024,oct,-0.38
2024,nov,-0.23
2024,dec,1.21
2025,jan,-0.52
2025,feb,1.6
2025,mar,0.3
2025,apr,0.18
2025,may,0.49
2025,jun,0.7
2025,jul,0.48
2025,aug,0.26
2025,sep,-0.8
2025,oct,-0.96
2025,nov,-0.78
2025,dec,-0.65
2026,jan,-0.36
2026,feb,0.68
2026,mar,2.69
2026,apr,NA
2026,may,NA
2026,jun,NA
2026,jul,NA
2026,aug,NA
2026,sep,NA
2026,oct,NA
2026,nov,NA
2026,dec,NA
